id,latitude,longitude,orientation
T98,36.701280940410236,-78.37349369522605,140
T99,36.70121066260686,-78.37004458072485,140
T100,36.69859593262326,-78.36089205366316,140
T101,36.700911263227624,-78.35853116509533,140
T102,36.6979,-78.35755,140
T103,36.699,-78.365,140
T104,36.696968443703085,-78.35517620065849,140
T105,36.69391412,-78.3678,140
T106,36.69492648093213,-78.36498476136161,140
T107,36.694616949789854,-78.36130362263394,140
